,text,device,emotion
0,3g iphone hr tweeting rise_austin dead need upgrade plugin station,iPhone,Negative emotion
1,know awesome ipad iphone app likely appreciate design also they're giving free t,iPad or iPhone App,Positive emotion
2,wait ipad also sale,iPad,Positive emotion
3,hope year's festival crashy year's iphone app,iPad or iPhone App,Negative emotion
4,great stuff fri marissa mayer google tim o'reilly tech book conference matt mullenweg wordpress,Google,Positive emotion
5,new ipad apps speechtherapy communication showcased conference iear edchat asd,,No emotion toward brand or product
7,starting ctia around corner googleio hop skip jump good time android fan,Android,Positive emotion
8,beautifully smart simple idea wrote hollergram ipad app,iPad or iPhone App,Positive emotion
9,counting day plus strong canadian dollar mean stock apple gear,Apple,Positive emotion
10,excited meet show sprint galaxy still running android fail,Android,Positive emotion
11,find start impromptu party can't wait til android app come,Android App,Positive emotion
12,foursquare ups game time still prefer far best looking android app date,Android App,Positive emotion
13,gotta love google calendar featuring top party show case check,Other Google product or service,Positive emotion
14,great ipad app,iPad or iPhone App,Positive emotion
15,haha awesomely rad ipad app hollergram,iPad or iPhone App,Positive emotion
16,holler gram ipad itunes app store,,No emotion toward brand or product
17,noticed dst coming weekend many iphone user hour late sxsw come sunday morning iphone,iPhone,Negative emotion
18,added flight matching people plane airport also downloaded iphone app nicely done,iPad or iPhone App,Positive emotion
19,must app lovely review forbes sxsw ipad app holler gram,iPad or iPhone App,Positive emotion
20,need buy ipad2 i'm austin sure i'll need austin apple store,iPad,Positive emotion
21,oh god app ipad pure unadulterated awesome easier browse event ipad website,iPad or iPhone App,Positive emotion
22,okay really yay new android app 11 kthxbai,Android App,Positive emotion
23,photo installed iphone app really nice,iPad or iPhone App,Positive emotion
24,really enjoying change gowalla android looking forward seeing else foursquare sleeve,Android App,Positive emotion
25,i'm looking forward smcdallas pre party wed hoping i'll win ipad resulting shameless promotion chevysmc,iPad,Positive emotion
26,haha awesomely rad ipad app hollergram,iPad or iPhone App,Positive emotion
27,someone started austin group google group great idea,Other Google product or service,Positive emotion
28,new 4sq3 look like going rock update iphone android push tonight keepaustinweird,iPad or iPhone App,Positive emotion
29,right app android sweeeeet nice job team,Android App,Positive emotion
30,smart hollergram ipad app may leave vuvuzela home,iPad or iPhone App,Positive emotion
31,must app ipad going hollergram,iPad or iPhone App,Positive emotion
32,attn frineds register gdgtlive see cobra iradar android,,No emotion toward brand or product
33,anyone want sell old ipad,,No emotion toward brand or product
34,anyone bought new ipad want sell older ipad,,No emotion toward brand or product
35,oooh google launch major new social network called circle possibly today,,No emotion toward brand or product
36,best ha first line ipad2 pop apple store event planner eventprofs pcma engage365,iPad,Positive emotion
37,spin play new concept music discovery ipad itunes,,No emotion toward brand or product
38,false alarm google circle coming and probably ever google circle social,Google,Negative emotion
39,vatornews google apple force print medium evolve,,No emotion toward brand or product
